metric,hero_mean,hero_median,rest_mean,rest_median,MWU_p
BGC_T3PKS,0.6666666666666666,1.0,0.02857142857142857,0.0,5.292123491726033e-10
BGC_RRE-containing,0.8333333333333334,1.0,0.10476190476190476,0.0,1.878835254383007e-05
BGC_NRP-metallophore,0.0,0.0,0.45714285714285713,0.0,0.08220888456586875
BGC_resorcinol,0.0,0.0,0.23809523809523808,0.0,0.17935499629124652
BGC_NAGGN,0.3333333333333333,0.0,0.14285714285714285,0.0,0.21353724027148768
BGC_T1PKS,0.0,0.0,0.20952380952380953,0.0,0.21606453826377692
BGC_NRPS-like,0.0,0.0,0.3142857142857143,0.0,0.2323068102237652
BGC_betalactone,0.8333333333333334,0.5,0.45714285714285713,0.0,0.31552281712345476
BGC_NRPS,0.3333333333333333,0.0,0.819047619047619,0.0,0.33284973631777504
BGC_ectoine,0.0,0.0,0.14285714285714285,0.0,0.36784359272861433
BGC_hserlactone,0.0,0.0,0.17142857142857143,0.0,0.3682387450756781
BGC_NAPAA,0.0,0.0,0.11428571428571428,0.0,0.3893766602811395
BGC_azole-containing-RiPP,0.0,0.0,0.10476190476190476,0.0,0.41283033237814337
BGC_NI-siderophore,0.0,0.0,0.11428571428571428,0.0,0.41304069853365066
BGC_RiPP-like,0.6666666666666666,0.0,0.9333333333333333,1.0,0.4501423404709861
BGC_redox-cofactor,0.3333333333333333,0.0,0.23809523809523808,0.0,0.4877427063995108
BGC_ranthipeptide,0.16666666666666666,0.0,0.09523809523809523,0.0,0.5195741440842554
BGC_phosphonate-like,0.0,0.0,0.06666666666666667,0.0,0.5254565367127568
BGC_phosphonate,0.0,0.0,0.05714285714285714,0.0,0.5601144070778756
BGC_lanthipeptide-class-i,0.0,0.0,0.06666666666666667,0.0,0.5601985359180379
BGC_terpene-precursor,0.6666666666666666,1.0,0.7904761904761904,1.0,0.5670427954834747
BGC_hglE-KS,0.0,0.0,0.047619047619047616,0.0,0.5986353636282001
BGC_microviridin,0.0,0.0,0.047619047619047616,0.0,0.5986353636282001
BGC_lassopeptide,0.0,0.0,0.0380952380952381,0.0,0.6422540864703001
BGC_hydrogen-cyanide,0.16666666666666666,0.0,0.3047619047619048,0.0,0.6525998785713953
BGC_phenazine,0.0,0.0,0.02857142857142857,0.0,0.6931076621668307
BGC_polyyne,0.0,0.0,0.02857142857142857,0.0,0.6931076621668307
BGC_other,0.0,0.0,0.02857142857142857,0.0,0.6931076621668307
BGC_transAT-PKS,0.0,0.0,0.0380952380952381,0.0,0.6931319576427087
BGC_terpene,0.5,0.5,0.580952380952381,0.0,0.7018165041598801
BGC_arylpolyene,0.8333333333333334,1.0,0.7523809523809524,1.0,0.7548764607535268
BGC_thioamitides,0.0,0.0,0.01904761904761905,0.0,0.7555663635990122
BGC_lanthipeptide-class-ii,0.0,0.0,0.01904761904761905,0.0,0.7555663635990122
n_regions,6.166666666666667,5.0,6.904761904761905,6.0,0.8084103603850287
BGC_acyl_amino_acids,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_lanthipeptide-class-iv,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_aminopolycarboxylic-acid,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_isocyanide,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_hydroxytropolone,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_darobactin,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_PKS-like,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_butyrolactone,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_CDPS,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
BGC_HR-T2PKS,0.0,0.0,0.009523809523809525,0.0,0.8421025696707304
