GCF_000189475.1	Sporosarcina_pasteurii	NOT_FOUND	{}
GCF_000293575.1	Sporosarcina_psychrophila	NOT_FOUND	{}
GCF_000299475.1	Sporosarcina_ureae	GCF_000299475.1	Escherichia coli O104:H4 str. 2009EL-2071	current	Complete Genome
GCF_000009045.1	Bacillus_subtilis_168	GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	current	Complete Genome
GCF_002209305.2	Bacillus_megaterium	NOT_FOUND	{}
GCF_001548095.1	Bacillus_licheniformis	GCF_001548095.1	Geminocystis sp. NIES-3708	current	Complete Genome
GCF_001399775.1	Lysinibacillus_sphaericus	GCF_001399775.1	Thermus aquaticus Y51MC23	current	Complete Genome
GCF_000691605.1	Lysinibacillus_fusiformis	GCF_000691605.1	Bdellovibrio bacteriovorus	current	Complete Genome
GCF_900119685.1	Halomonas_pacifica	GCF_900119685.1	Escherichia coli	current	Chromosome
GCF_000196175.1	Halomonas_elongata	GCF_000196175.1	Bdellovibrio bacteriovorus HD100	current	Complete Genome
GCF_002288455.1	Idiomarina_loihiensis	NOT_FOUND	{}
GCF_000613485.1	Pseudoalteromonas_haloplanktis	GCF_000613485.1	Hoylesella loescheii DSM 19665 = JCM 12249 = ATCC 15930	suppressed	Contig
GCF_001077795.1	Helicobacter_pylori_26695	GCF_001077795.1	Riemerella anatipestifer Yb2	current	Complete Genome
GCF_000196215.1	Klebsiella_aerogenes	GCF_000196215.1	Borreliella bavariensis PBi	current	Complete Genome
GCF_000648555.1	Proteus_mirabilis	NOT_FOUND	{}
GCF_000009305.1	Yersinia_enterocolitica	GCF_000009305.1	Helicobacter acinonychis str. Sheeba	current	Complete Genome
GCF_000284615.1	Sphingobacterium_sp_21	GCF_000284615.1	Marinobacter nauticus ATCC 49840	current	Complete Genome
GCF_000620325.1	Sphingobacterium_multivorum	GCF_000620325.1	Salinispora tropica CNY012	current	Scaffold
GCF_001719105.1	Sphingobacterium_paramultivorum	GCF_001719105.1	Enterobacter sp. HK169	current	Complete Genome
GCF_001043025.1	Pseudomonas_helleri	GCF_001043025.1	Pseudomonas helleri	current	Contig
