Category,Subcategory,Hero_mean_per1kCDS,Rest_mean_per1kCDS,Hero_over_Rest
Alkaline_Osmo,Mrp_complex,0.123,0.011,10.85
Alkaline_Osmo,oxidative,0.246,0.052,4.76
Alkaline_Osmo,Na_H_antiporter,0.635,0.276,2.3
Alkaline_Osmo,compatible_solute,22.611,15.027,1.5
Alkaline_Osmo,HSP_chaperone,1.511,1.427,1.06
Alkaline_Osmo,K_uptake,0.429,0.454,0.95
Ammonia_N,urea_transport,0.425,0.47,0.9
Ammonia_N,GDH,0.306,0.34,0.9
Ammonia_N,ammonium_transport,0.271,0.367,0.74
Ammonia_N,GS_GOGAT,0.91,1.455,0.62
Ammonia_N,nitrate_nitrite,0.444,0.818,0.54
Ammonia_N,PII_regulator,0.077,0.293,0.26
Biofilm_EPS,quorum,2.449,1.149,2.13
Biofilm_EPS,capsule,0.113,0.061,1.84
Biofilm_EPS,cellulose,0.305,0.17,1.8
Biofilm_EPS,alginate,1.158,0.882,1.31
Biofilm_EPS,adhesin,1.985,1.702,1.17
Biofilm_EPS,polysaccharide_intercellular,241.103,214.856,1.12
Biofilm_EPS,pel,0.0,0.057,0.0
Biofilm_EPS,psl,0.0,0.034,0.0
Biofilm_EPS,curli,0.0,0.303,0.0
Biofilm_EPS,colanic,0.0,0.02,0.0
CAZyme_proxy,carb_binding,1.571,0.161,9.78
CAZyme_proxy,glycoside_hydrolase,6.2,1.331,4.66
CAZyme_proxy,carb_esterase,0.082,0.037,2.21
CAZyme_proxy,polysaccharide_lyase,0.504,0.234,2.15
CAZyme_proxy,glycosyltransferase,4.235,4.634,0.91
HGT_markers,transposase,2.068,1.664,1.24
HGT_markers,plasmid,0.393,0.373,1.05
HGT_markers,integrase,0.912,1.315,0.69
HGT_markers,phage,2.144,4.277,0.5
HGT_markers,conjugation,0.07,0.521,0.14
MetalResist_AMR,tet_mac,1.967,0.466,4.22
MetalResist_AMR,metallothionein,0.041,0.029,1.43
MetalResist_AMR,efflux_MDR,2.095,1.644,1.27
MetalResist_AMR,metal_efflux,24.041,20.275,1.19
MetalResist_AMR,beta_lactamase,3.263,2.917,1.12
MetalResist_AMR,aminoglycoside,0.189,0.588,0.32
