,ureA,ureB,ureC,ureD,ureE,ureF,ureG,cah,Total_Score
C22,1,1,1,1,1,1,1,1,8
M1,1,1,1,1,1,1,1,1,8
M13,1,1,1,1,1,1,1,1,8
C3,1,1,1,1,1,1,1,1,8
S18,1,1,1,1,1,1,1,1,8
S19,1,1,1,1,1,1,1,1,8
M9,1,1,1,1,1,1,1,1,8
S16,1,1,1,1,1,1,1,1,8
S10,1,1,1,1,1,1,1,1,8
V29,1,1,1,1,1,1,1,1,8
V28,1,1,1,1,1,1,1,1,8
V3,1,1,1,1,1,1,1,1,8
V42,1,1,1,1,1,1,1,1,8
V8,1,1,1,1,1,1,1,1,8
V16,1,1,1,1,1,1,1,1,8
V15,1,1,1,1,1,1,1,1,8
S27,1,1,1,1,1,1,1,1,8
S31,1,1,1,1,1,1,1,1,8
S23,1,1,1,1,1,1,1,1,8
V38,1,1,1,1,1,1,1,1,8
V22,1,1,1,1,1,1,1,1,8
V24,1,1,1,1,1,1,1,1,8
V25,1,1,1,1,1,1,1,1,8
V27,1,1,1,1,1,1,1,1,8
V31,1,1,1,1,1,1,1,1,8
S20,1,1,1,1,1,1,1,1,8
M10,1,1,1,1,0,1,1,1,7
S13,1,1,1,1,1,1,1,0,7
V9,1,0,1,1,1,1,1,1,7
S22,1,1,1,1,1,1,1,0,7
V5,1,1,1,1,0,1,1,1,7
S30,1,1,1,1,1,1,1,0,7
V2,0,1,1,1,0,1,1,1,6
M15,0,1,1,1,0,1,1,1,6
S29,0,1,1,1,0,1,1,0,5
V32,0,0,0,0,1,1,1,1,4
S1,1,1,1,1,0,0,0,0,4
V17,1,1,1,1,0,0,0,0,4
C2,0,1,1,1,0,0,0,0,3
V19,0,0,0,0,0,0,1,1,2
V21,0,0,0,0,0,0,0,1,1
V11,0,0,0,0,0,0,0,1,1
V14,0,0,0,0,0,0,0,1,1
V30,0,0,0,0,0,0,0,1,1
V4,0,0,0,0,0,0,0,1,1
V33,0,0,0,0,0,0,0,1,1
V23,0,0,0,0,0,0,0,1,1
M5,0,0,0,0,0,0,0,1,1
M7,0,0,0,0,0,0,0,1,1
M6,0,0,0,0,0,0,0,1,1
M8,0,0,0,0,0,0,0,1,1
M4,0,0,0,0,0,0,0,1,1
M14,0,0,0,0,0,0,0,1,1
C7,0,0,0,0,0,0,0,1,1
M11,0,0,0,0,0,0,0,1,1
M2,0,0,0,0,0,0,0,1,1
M12,0,0,0,0,0,0,0,1,1
S17,0,0,0,0,0,0,0,1,1
C20,0,0,0,0,0,0,0,1,1
V18,0,0,0,0,0,0,0,1,1
S9,0,0,0,0,0,0,0,1,1
V10,0,0,0,0,0,0,0,1,1
M3,0,0,0,0,0,0,0,1,1
V12,0,0,0,0,0,0,0,1,1
S2,0,0,0,0,0,0,0,1,1
S26,0,0,0,0,0,0,0,1,1
S25,0,0,0,0,0,0,0,1,1
S21,0,0,0,0,0,0,0,1,1
V6,0,0,0,0,0,0,0,1,1
V41,0,0,0,0,0,0,0,1,1
V37,0,0,0,0,0,0,0,1,1
V39,0,0,0,0,0,0,0,1,1
V34,0,0,0,0,0,0,0,1,1
V20,0,0,0,0,0,0,0,1,1
V36,0,0,0,0,0,0,0,1,1
V1,0,0,0,0,0,0,0,1,1
S32,0,0,0,0,0,0,0,1,1
S28,0,0,0,0,0,0,0,1,1
S5,0,0,0,0,0,0,0,1,1
S4,0,0,0,0,0,0,0,1,1
S3,0,0,0,0,0,0,0,1,1
C21,0,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0
S14,0,0,0,0,0,0,0,0,0
S12,0,0,0,0,0,0,0,0,0
S15,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0,0
S24,0,0,0,0,0,0,0,0,0
V13,0,0,0,0,0,0,0,0,0
S6,0,0,0,0,0,0,0,0,0
S7,0,0,0,0,0,0,0,0,0
S8,0,0,0,0,0,0,0,0,0
V26,0,0,0,0,0,0,0,0,0
V35,0,0,0,0,0,0,0,0,0
V40,0,0,0,0,0,0,0,0,0
V7,0,0,0,0,0,0,0,0,0
