,ureA,ureB,ureC,ureD,ureE,ureF,ureG,cah,Total_Score
C22,0,0,0,0,0,1,1,0,2
S16,0,0,0,0,0,1,1,0,2
S23,0,0,0,0,0,1,1,0,2
S13,0,0,0,0,1,0,0,0,1
V3,0,0,0,0,1,0,0,0,1
M13,0,0,0,1,0,0,0,0,1
V24,0,0,0,0,0,0,0,0,0
V22,0,0,0,0,0,0,0,0,0
V21,0,0,0,0,0,0,0,0,0
V20,0,0,0,0,0,0,0,0,0
V1,0,0,0,0,0,0,0,0,0
V19,0,0,0,0,0,0,0,0,0
V18,0,0,0,0,0,0,0,0,0
V17,0,0,0,0,0,0,0,0,0
V16,0,0,0,0,0,0,0,0,0
V15,0,0,0,0,0,0,0,0,0
V14,0,0,0,0,0,0,0,0,0
V13,0,0,0,0,0,0,0,0,0
V12,0,0,0,0,0,0,0,0,0
V11,0,0,0,0,0,0,0,0,0
V10,0,0,0,0,0,0,0,0,0
S9,0,0,0,0,0,0,0,0,0
S8,0,0,0,0,0,0,0,0,0
S7,0,0,0,0,0,0,0,0,0
S6,0,0,0,0,0,0,0,0,0
S4,0,0,0,0,0,0,0,0,0
V23,0,0,0,0,0,0,0,0,0
C21,0,0,0,0,0,0,0,0,0
V7,0,0,0,0,0,0,0,0,0
V6,0,0,0,0,0,0,0,0,0
V5,0,0,0,0,0,0,0,0,0
V4,0,0,0,0,0,0,0,0,0
V42,0,0,0,0,0,0,0,0,0
V41,0,0,0,0,0,0,0,0,0
V9,0,0,0,0,0,0,0,0,0
V39,0,0,0,0,0,0,0,0,0
V38,0,0,0,0,0,0,0,0,0
V37,0,0,0,0,0,0,0,0,0
S5,0,0,0,0,0,0,0,0,0
V35,0,0,0,0,0,0,0,0,0
V34,0,0,0,0,0,0,0,0,0
V33,0,0,0,0,0,0,0,0,0
V32,0,0,0,0,0,0,0,0,0
V31,0,0,0,0,0,0,0,0,0
V30,0,0,0,0,0,0,0,0,0
V2,0,0,0,0,0,0,0,0,0
V29,0,0,0,0,0,0,0,0,0
V28,0,0,0,0,0,0,0,0,0
V27,0,0,0,0,0,0,0,0,0
V26,0,0,0,0,0,0,0,0,0
V25,0,0,0,0,0,0,0,0,0
V36,0,0,0,0,0,0,0,0,0
M8,0,0,0,0,0,0,0,0,0
M7,0,0,0,0,0,0,0,0,0
M6,0,0,0,0,0,0,0,0,0
M5,0,0,0,0,0,0,0,0,0
M4,0,0,0,0,0,0,0,0,0
M3,0,0,0,0,0,0,0,0,0
M2,0,0,0,0,0,0,0,0,0
M1,0,0,0,0,0,0,0,0,0
M15,0,0,0,0,0,0,0,0,0
M14,0,0,0,0,0,0,0,0,0
M12,0,0,0,0,0,0,0,0,0
V8,0,0,0,0,0,0,0,0,0
C20,0,0,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0
C5,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,0
M10,0,0,0,0,0,0,0,0,0
V40,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0
M11,0,0,0,0,0,0,0,0,0
S3,0,0,0,0,0,0,0,0,0
S32,0,0,0,0,0,0,0,0,0
S31,0,0,0,0,0,0,0,0,0
S30,0,0,0,0,0,0,0,0,0
S2,0,0,0,0,0,0,0,0,0
S29,0,0,0,0,0,0,0,0,0
S28,0,0,0,0,0,0,0,0,0
S27,0,0,0,0,0,0,0,0,0
S26,0,0,0,0,0,0,0,0,0
S25,0,0,0,0,0,0,0,0,0
S24,0,0,0,0,0,0,0,0,0
M9,0,0,0,0,0,0,0,0,0
S21,0,0,0,0,0,0,0,0,0
S20,0,0,0,0,0,0,0,0,0
S1,0,0,0,0,0,0,0,0,0
S19,0,0,0,0,0,0,0,0,0
S18,0,0,0,0,0,0,0,0,0
S17,0,0,0,0,0,0,0,0,0
S15,0,0,0,0,0,0,0,0,0
S14,0,0,0,0,0,0,0,0,0
S12,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0
S10,0,0,0,0,0,0,0,0,0
S22,0,0,0,0,0,0,0,0,0
