ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304400,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp900320055,MAG,88.7,1.68
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304401,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG762;s__RUG762 sp900316455,MAG,98.54,0.57
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304403,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Weimeria;s__Weimeria sp946182825,MAG,96.88,0.2
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304404,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902800185,MAG,53.64,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304405,sheep-rumen,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parafannyhessea;s__Parafannyhessea umbonata_A,MAG,82.88,1.77
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304406,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp017543785,MAG,84.17,0.22
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304407,sheep-rumen,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__JAFUXM01;s__JAFUXM01 sp946183145,MAG,100.0,0.04
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304408,sheep-rumen,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__UBA3207;s__UBA3207 sp946183335,MAG,81.03,0.04
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304410,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp902778625,MAG,84.47,0.87
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304412,sheep-rumen,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium merycicum,MAG,99.99,0.28
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304413,sheep-rumen,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__Enteromonas;s__Enteromonas sp946183085,MAG,87.97,0.32
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304415,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA1179;s__UBA1179 sp900318995,MAG,89.52,0.38
0,0,0,1,0,0,0,0,0,0,0,0,MGYG000304416,sheep-rumen,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp902787415,MAG,65.56,1.5
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304417,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900316555,MAG,88.98,2.41
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304420,sheep-rumen,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__Enteromonas;s__Enteromonas sp900316365,MAG,92.66,0.67
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304421,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4293;s__UBA4293 sp900316585,MAG,82.97,0.87
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304425,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp946183365,MAG,98.5,2.27
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304426,sheep-rumen,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes_G,MAG,82.83,1.74
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304429,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp946183415,MAG,87.5,0.73
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304435,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1217;s__UBA1217 sp902793295,MAG,82.02,2.12
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304436,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG762;s__RUG762 sp946182865,MAG,98.55,0.69
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304437,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900316685,MAG,92.78,0.15
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304441,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG592;s__RUG592 sp017418905,MAG,94.34,1.95
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000304442,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp946183095,MAG,72.22,0.3
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304445,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp946183175,MAG,95.25,0.5
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000304447,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp020625635,MAG,99.65,1.65
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000304448,sheep-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3824;g__UBA3824;s__UBA3824 sp016287995,MAG,70.37,0.53
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000304449,sheep-rumen,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus sp946183385,MAG,75.26,2.28
