gene,hero_hero_n,hero_hero_median,rest_rest_n,rest_rest_median,hero_rest_n,hero_rest_median,MWU_hh_vs_rr_p
ureA,14,0.76665,65,0.7175,71,0.6969,0.8322305090999916
ureB,8,0.13235,65,0.0864,60,0.1461,0.3820376364193149
ureC,12,0.13675,62,0.1211,71,0.1455,0.5723431881263298
ureG,12,0.31220000000000003,62,0.0741,72,0.19555,7.661024095074033e-08
