gene,n_seqs,aln_len,omega_M0,tree_dN,tree_dS,lnL,kappa
ureA,18,4215,0.08708,6.2701,72.0004,-25402.088731,1.40968
ureB,17,1749,0.05942,2.3414,39.4026,-6372.306821,1.37419
ureC,18,1875,0.02605,1.308,50.2195,-16463.706643,1.49857
ureG,18,828,0.04082,2.315,56.7136,-7609.108915,1.35649
