Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
ref_genomes/GCF_025837155.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	97.98	89.32	92.65	NZ_CP107549.1 Pseudomonas sp. Z8(2022) chromosome, complete genome	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_001043025.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/S26/S26.fna	97.54	83.59	89.36	NZ_JYLD01000010.1 Pseudomonas helleri strain DSM 29165 10_220866_45.2889, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900636545.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	89.68	52.34	63.10	NZ_LR134290.1 Ectopseudomonas mendocina strain NCTC10897 chromosome 1, complete sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_025465935.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/S26/S26.fna	89.43	55.47	56.54	NZ_JANLNV010000059.1 Pseudomonas sp. 7P_10.2_Bac1 1, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCA_023431055.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	89.11	51.97	52.60	JAEYXX010000055.1 MAG: Proteobacteria bacterium isolate OH_CBlB_334 k127_1047143, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_009932725.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.59	49.80	58.43	NZ_BLJU01000001.1 Pseudomonas yangonensis strain MY50 MY50_contig_1, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_000418555.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.46	49.32	58.27	NZ_ATKM01000001.1 Pseudomonas sp. P818 P818-scaffold1, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900106015.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.44	42.71	54.29	NZ_LT629797.1 Pseudomonas sihuiensis strain KCTC 32246 chromosome I	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900104265.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.42	48.00	56.66	NZ_FNJJ01000026.1 Ectopseudomonas guguanensis strain JCM 18416, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_001941865.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.29	42.99	53.30	NZ_CP016162.1 Pseudomonas alcaliphila JAB1 chromosome, complete genome	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_016008875.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.23	50.28	59.82	NZ_JADTQG010000001.1 Pseudomonas mendocina strain PSB00032 PSB00032_c0001, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_002741105.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	88.15	48.51	55.01	NZ_NIQU01000001.1 Pseudomonas sediminis strain PI11 scaffold_0, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900115695.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.72	42.97	54.76	NZ_FOXK01000040.1 Ectopseudomonas toyotomiensis strain JCM 15604, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_007049795.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.57	41.71	49.36	NZ_SCFY01000010.1 Pseudomonas mendocina strain FFL34 NODE_10_length_216105_cov_26.56_pilon, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_029836375.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.57	44.81	51.46	NZ_JAOEBQ010000001.1 Pseudomonas sediminis strain GD04081 1, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_015712065.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.49	43.43	55.31	NZ_JACFYZ010000001.1 Pseudomonas chengduensis strain 402 contig00001, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900102635.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.47	43.30	54.41	NZ_FMZQ01000043.1 Ectopseudomonas chengduensis strain DSM 26382, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900101755.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.40	45.33	55.60	NZ_FNAE01000025.1 Ectopseudomonas alcaliphila strain JCM 10630, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_002803095.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.39	36.28	52.03	NZ_PGLR01000100.1 Pseudomonas sp. ZH-FAD Scaffold100_1, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
ref_genomes/GCF_900115475.1.fna	/data/data/Upcycling/MAGs_FASTA_files/bakta_results/M1/M1.fna	87.30	42.16	52.78	NZ_FOWP01000027.1 Ectopseudomonas composti strain CCUG 59231, whole genome shotgun sequence	contig_1 [gcode=11] [topology=linear]
