ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299702,pig-gut,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__W2P13-069;s__W2P13-069 sp004553405,MAG,97.72,0.12
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299703,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA1783;s__UBA1783 sp016302195,MAG,86.82,0.94
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299713,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__,MAG,59.51,1.72
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000299719,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,MAG,80.63,1.64
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299722,pig-gut,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__,MAG,95.87,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299723,pig-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA3789;s__,MAG,88.89,3.33
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299727,pig-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__,MAG,85.31,1.32
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000299729,pig-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,MAG,65.47,1.85
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299732,pig-gut,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__UBA1724;s__UBA1724 sp016302725,MAG,84.4,0.72
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000299737,pig-gut,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Bullifex;s__,MAG,94.32,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000299738,pig-gut,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__,MAG,84.62,0.1
