MAG,group,n_plasmid_contigs,n_virus_contigs
C1,rest,5,0
C10,rest,20,1
C11,rest,13,2
C12,rest,2,3
C13,rest,9,1
C14,rest,23,0
C15,rest,37,3
C16,rest,50,11
C17,rest,20,1
C18,rest,118,4
C19,rest,163,1
C2,rest,49,1
C20,rest,89,3
C21,rest,24,8
C22,MICP_complete,5,2
C3,rest,43,8
C4,rest,61,12
C5,rest,139,5
C6,rest,11,4
C7,rest,126,2
C8,rest,17,4
C9,rest,5,21
M1,MICP_complete,0,3
M10,rest,63,8
M11,rest,5,2
M12,rest,11,1
M13,rest,10,5
M14,rest,0,2
M15,rest,10,3
M2,rest,212,85
M3,rest,8,2
M4,rest,4,0
M5,rest,7,0
M6,rest,17,0
M7,rest,44,15
M8,rest,0,1
M9,rest,1,3
S1,rest,46,0
S10,rest,16,1
S11,rest,38,0
S12,rest,23,0
S13,MICP_complete,5,0
S14,rest,58,3
S15,rest,17,2
S16,MICP_complete,1,0
S17,rest,16,4
S18,rest,30,1
S19,rest,16,2
S2,rest,1,4
S20,rest,19,2
S21,rest,10,12
S22,rest,1,0
S23,MICP_complete,4,0
S24,rest,86,2
S26,MICP_complete,49,2
