ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307600,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Avichristensenella;s__Avichristensenella intestinipullorum,MAG,96.74817898,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307601,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Onthenecus;s__Onthenecus intestinigallinarum,MAG,95.8041958,0.932400932
1,1,1,3,1,0,0,1,1,1,0,1,MGYG000307607,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus;s__Catenibacillus faecavium,MAG,90.60402685,0.67114094
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307615,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha gallistercoris,MAG,91.69463087,1.565995526
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307616,chicken-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides excrementigallinarum,MAG,92.6031746,2.883597884
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000307617,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Pullichristensenella;s__Pullichristensenella stercorigallinarum,MAG,95.17429761,3.897849462
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000307619,chicken-gut,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Aveggerthella;s__Aveggerthella stercoripullorum,MAG,91.12903226,0.403225806
1,0,0,0,1,0,0,1,0,0,1,0,MGYG000307622,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Pullichristensenella;s__Pullichristensenella stercoripullorum,MAG,82.0541958,4.195804196
1,1,1,3,1,0,0,1,1,1,0,1,MGYG000307628,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia intestinavium,MAG,94.29588608,0.632911392
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000307630,chicken-gut,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aphodousia;s__Aphodousia faecalis,MAG,95.52083333,1.25
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307631,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__Scatosoma pullicola,MAG,92.74193548,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000307632,chicken-gut,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia faecavium,MAG,80.31319911,0.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000307638,chicken-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__Faecimonas;s__Faecimonas gallistercoris,MAG,85.11235955,0.722311396
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307639,chicken-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus merdigallinarum,MAG,89.28571429,0.476190476
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000307640,chicken-gut,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Aphodovivens;s__Aphodovivens avicola,MAG,99.88479263,3.629032258
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000307646,chicken-gut,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__Onthousia;s__Onthousia excrementipullorum,MAG,88.20224719,1.284109149
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307647,chicken-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma gallistercoris,MAG,88.78216123,0.503144654
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000307652,chicken-gut,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus avistercoris,MAG,89.20634921,0.0
