MAG,ureC_len
C13,573
C18,569
C22,573
M1,566
M10,571
M11,567
M13,566
M9,566
S1,568
S10,566
S11,464
S13,616
S14,572
S16,616
S18,567
S19,567
S20,567
S22,573
S23,616
S24,566
S26,572
S27,567
S3,566
S30,566
S31,567
S4,567
S9,567
V11,567
V15,573
V16,573
V17,568
V22,567
V23,566
V24,573
V25,567
V27,567
V28,566
V29,566
V3,616
V31,573
V32,566
V38,566
V42,567
V5,571
V8,566
V9,420
