Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	100.00	99.52	99.52	GT14BC2:NODE_2886_length_6948_cov_2.316693	GT14BC2:NODE_2886_length_6948_cov_2.316693
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	96.78	46.22	59.76	NODE_193_length_52978_cov_6.563883	GT14BC2:NODE_2886_length_6948_cov_2.316693
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_014109745.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	96.71	45.08	66.91	NZ_CP058555.1 Sphingobacterium paramultivorum strain BIGb0170 chromosome	GT14BC2:NODE_2886_length_6948_cov_2.316693
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_016894225.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	94.18	30.94	42.58	NZ_CP069793.1 Sphingobacterium multivorum strain FDAARGOS_1203 chromosome	GT14BC2:NODE_2886_length_6948_cov_2.316693
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S16.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_C22.fna	93.54	29.23	37.89	NODE_9_length_193081_cov_8.934825	GT14BC2:NODE_2886_length_6948_cov_2.316693
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S26.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S26.fna	100.00	99.77	99.77	NODE_16_length_104489_cov_9.279412	NODE_16_length_104489_cov_9.279412
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_045830615.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S26.fna	97.88	85.44	90.72	NZ_CP174501.1 Pseudomonas helleri strain NF1a chromosome, complete genome	NODE_16_length_104489_cov_9.279412
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_001043025.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S26.fna	97.54	83.59	89.36	NZ_JYLD01000010.1 Pseudomonas helleri strain DSM 29165 10_220866_45.2889, whole genome shotgun sequence	NODE_16_length_104489_cov_9.279412
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	100.00	100.00	100.00	NODE_193_length_52978_cov_6.563883	NODE_193_length_52978_cov_6.563883
/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/GCF_014109745.1.fna	/data/data/Upcycling/research/additional/C5_panMICP_env_v2/refs/HERO_S23.fna	98.96	80.93	92.93	NZ_CP058555.1 Sphingobacterium paramultivorum strain BIGb0170 chromosome	NODE_193_length_52978_cov_6.563883
