fasta,GH,GT,PL,CE,AA,CBM,Total_CAZymes
C1,0,2,1,1,1,0,5
C10,4,1,0,1,0,0,6
C11,29,23,1,9,5,0,67
C12,3,2,0,0,0,0,5
C13,55,21,1,6,3,6,92
C14,12,27,1,7,8,0,55
C15,7,8,0,2,5,1,23
C16,7,12,1,2,5,1,28
C17,7,6,0,2,5,0,20
C18,55,37,3,7,10,1,113
C19,38,37,0,5,22,2,104
C2,21,27,0,3,7,0,58
C20,13,24,1,6,14,1,59
C21,15,13,2,7,7,1,45
C3,11,10,0,0,2,0,23
C4,9,12,1,0,4,0,26
C5,17,23,1,6,12,2,61
C6,1,14,0,1,2,1,19
C7,15,33,1,4,12,1,66
C8,4,8,0,1,2,0,15
C9,3,9,0,1,1,1,15
M10,10,23,1,5,5,0,44
M11,15,18,0,7,12,1,53
M12,32,19,0,8,4,0,63
M13,11,21,0,6,11,1,50
M14,10,26,1,6,6,0,49
M15,9,24,0,4,10,0,47
M2,6,31,2,2,5,1,47
M3,36,25,2,13,10,2,88
M4,43,28,2,12,8,1,94
M5,19,43,1,10,16,0,89
M6,17,13,2,8,6,0,46
M7,4,11,0,0,2,0,17
M8,13,18,0,3,10,1,45
M9,20,26,3,4,10,1,64
S1,36,55,1,6,18,0,116
S10,28,39,1,5,14,0,87
S11,15,22,0,2,6,1,46
S12,38,27,2,12,8,1,88
S14,20,35,1,9,22,0,87
S15,8,23,2,4,9,0,46
S17,36,23,2,10,7,1,79
S18,26,26,2,3,14,1,72
S19,23,26,5,3,10,0,67
S2,13,44,1,6,9,0,73
S20,23,27,4,5,10,1,70
S21,23,44,0,10,16,0,93
S22,31,43,0,10,4,1,89
S24,10,11,0,5,7,1,34
S25,35,22,2,11,8,1,79
S27,26,26,1,2,12,1,68
S28,12,22,1,4,12,0,51
S29,9,11,0,5,7,1,33
S3,9,13,0,5,7,2,36
S30,6,10,0,1,3,1,21
S31,27,30,3,2,13,1,76
S32,10,14,1,2,7,1,35
S4,25,26,4,3,11,1,70
S5,22,40,2,8,18,1,91
S6,24,21,1,8,6,2,62
S7,35,28,0,8,6,0,77
S8,35,28,3,9,6,3,84
S9,25,27,3,4,9,1,69
V1,40,25,3,14,9,1,92
V10,23,35,0,11,17,0,86
V11,25,27,3,4,11,0,70
V12,9,22,0,6,5,0,42
V13,26,21,0,9,6,1,63
V14,18,35,1,8,17,2,81
V15,55,43,6,15,6,1,126
V16,53,31,4,16,6,0,110
V17,45,61,3,12,22,2,145
V18,21,43,1,9,15,1,90
V19,16,21,1,1,6,0,45
V2,10,24,0,5,8,0,47
V20,22,39,1,7,13,0,82
V21,9,12,0,5,7,1,34
V22,28,27,3,3,12,1,74
V23,12,12,0,5,7,2,38
V24,38,38,0,11,5,1,93
V25,21,12,0,1,10,0,44
V26,140,48,12,25,3,7,235
V27,25,24,0,1,11,0,61
V28,27,47,3,5,13,1,96
V29,32,34,3,4,16,2,91
V3,65,17,3,9,2,3,99
V30,40,26,3,15,9,2,95
V31,42,39,0,15,4,2,102
V32,29,37,2,5,12,0,85
V33,22,25,4,3,11,1,66
V34,33,26,2,11,9,1,82
V35,7,8,0,3,7,1,26
V36,8,14,0,2,4,1,29
V37,10,15,0,3,5,1,34
V38,8,18,0,3,5,1,35
V39,22,27,4,3,13,1,70
V4,35,23,4,13,9,0,84
V40,38,25,1,12,5,1,82
V41,22,35,0,8,11,1,77
V42,24,30,3,4,8,1,70
V5,10,29,1,6,7,0,53
V6,29,29,0,11,5,0,74
V7,34,20,4,11,9,3,81
V8,10,15,1,3,9,1,39
V9,36,47,4,7,11,1,106
