Sample,Contig,Start,End,Window_kb,MobileElements,GenomeGC,RegionGC,DeltaGC
C22,contig_74,0,20510,20.51,0,40.61,40.61,0.0
M1,contig_1,309478,368040,58.562,0,63.26,64.74,1.48
S13,contig_69,0,25467,25.467,0,42.44,42.44,0.0
S16,contig_125,0,25300,25.3,0,39.53,39.53,0.0
S23,contig_220,0,23523,23.523,0,39.56,39.56,0.0
S26,contig_140,0,18081,18.081,0,55.93,55.93,0.0
