MAG	origin	experiment	original_sample	assembly_type	binning_method	completeness_pct	contamination_pct	quality_class	genome_coverage_x	mapping_reads_pct_avg	mapping_reads_pct_max	sra_run_raw_reads	biosample_raw_reads	mag_biosample	source_gtdb_genus	source_gtdb_species	sampling_day	is_candidate
C1	Soil	Soil S	GT14SA	Coassembly	COMEbin	55.53	9.77	Medium	51.1022792048456	0.19820998484313726	1.962113	SRR15032942	SAMN20010773	SAMN47200992	Pseudomonas	P. putida	14	False
C2	Soil	Soil B	GT14BA	Coassembly	COMEbin	50.37	6.75	Medium	4.89746247494004	0.06918184176470589	0.84496474	SRR15032941	SAMN20010764	SAMN47200976	Paraburkholderia	P. nemoris	14	False
C3	Manured soil	Soil S	GT14SC2	Coassembly	COMEbin	50.34	2.47	Medium	7.75811521000444	0.10539938570588234	1.0080421	SRR15032988	SAMN20010776	SAMN47200995	Pseudomonas	P. putida	14	False
C4	Manured soil	Soil S	GT14SC2	Coassembly	COMEbin	52.46	2.46	Medium	5.99860504068717	0.054612511176470584	0.8933797	SRR15032988	SAMN20010776	SAMN47200982	Pseudomonas	P. alloputida	14	False
C5	Manure	Soil S	GT14SEX	Coassembly	COMEbin	68.45	1.58	Medium	11.9483432383201	0.0619737342745098	1.2140677	SRR15032985	SAMN20010779	SAMN47200931	Achromobacter	A. piechaudii	14	False
C6	Manure	Soil S	GT14SEX	Coassembly	COMEbin	50.65	1.24	Medium	11.1145310052213	0.03889682019607844	0.76762366	SRR15032985	SAMN20010779	SAMN47200936	Acinetobacter	Unknown	14	False
C7	Manured soil	Soil B	GT28BC2	Coassembly	COMEbin	72.17	3.29	Medium	9.231466234502	0.11581320823529412	2.0558016	SRR15032978	SAMN20010785	SAMN47200926	Achromobacter	Unknown	28	False
C8	Manured soil	Soil B	GT28BC2	Coassembly	COMEbin	54.31	1.95	Medium	8.39216245084259	0.0279945331372549	0.79867774	SRR15032978	SAMN20010785	SAMN47200971	Diaphorobacter	D. nitroreducens	28	False
C9	Manured soil	Soil B	GT28BC2	Coassembly	COMEbin	77.35	4.05	Medium	9.41854896329895	0.02123267254901961	1.0828663	SRR15032978	SAMN20010785	SAMN47200973	Microvirgula	Unknown	28	False
C10	Manured soil	Soil B	GT28BC2	Coassembly	COMEbin	56.7	4.79	Medium	369.803624463884	4.005153045960784	23.930103	SRR15032978	SAMN20010785	SAMN47200941	Acinetobacter	A. calcoaceticus	28	False
C11	Manure	Soil B	GT28BEX	Coassembly	COMEbin	88.46	3.32	Medium	18.8906433313445	0.044670327647058826	2.1346254	SRR15032975	SAMN20010788	SAMN47201030	Stenotrophomonas	Stenotrophomonas sp004348115	28	False
C12	Manure	Soil B	GT28BEX	Coassembly	COMEbin	65.91	1.09	Medium	1.32080699470116	0.018371732607843135	0.5510377	SRR15032975	SAMN20010788	SAMN47200965	Comamonas	Unknown	28	False
C13	Soil	Soil S	GT28SA	Coassembly	COMEbin	73.11	6.11	Medium	3.07186102889734	0.045647710529411765	0.5983317	SRR15032972	SAMN20010791	SAMN47201011	Sphingobacterium	S. sp029542085	28	False
C14	Manure	Soil S	GT28SEX	Coassembly	COMEbin	93.67	0.7	pHigh	9.91519701480735	0.07799538176470588	1.6173761	SRR15032965	SAMN20010797	SAMN47200957	Bordetella	Bordetella trematum	28	False
C15	Manure	Soil B	GT2BEX	Coassembly	COMEbin	81.2	0.49	Medium	20.6128728542189	0.0636021862745098	1.4995451	SRR15032959	SAMN20010803	SAMN47200939	Acinetobacter	A. bohemicus	2	False
C16	Manure	Soil S	GT2SEX	Coassembly	COMEbin	75.84	3.3	Medium	21.071608707729	0.2976163200588235	1.9294032	SRR15032949	SAMN20010812	SAMN47200938	Acinetobacter	A. baumannii	2	False
C17	Soil	Soil B	GT14BA	Coassembly	COMEbin	52.16	6.96	Medium	8.75554057728941	0.07472206960784313	0.79588246	SRR15032941	SAMN20010764	SAMN47200975	Paraburkholderia	P. nemoris	14	False
C18	Soil	Soil B	GT14BA	Coassembly	COMEbin	99.89	1.01	High	8.57101777597463	0.08058066225490196	1.2226831	SRR15032941	SAMN20010764	SAMN47200952	Agrobacterium	A. fabacearum	14	False
C19	Soil	Soil B	GT14BA	Coassembly	COMEbin	84.92	4.33	Medium	4.76156139293219	0.07531629156862744	1.0520612	SRR15032941	SAMN20010764	SAMN47200974	Paraburkholderia	P. hospita	14	False
