ureC,ureB,ureA,urease_accessory_count,CA_any,CA_alpha,CA_beta,CA_gamma,urease_core_complete,urease_operon_single_contig,ureC_plus_CA_single_contig,MICP_gene_complete,cluster_rep,catalog,Lineage,Genome_type,Completeness,Contamination
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290000,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902792635,MAG,97.64,1.46
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290003,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__UBA2912 sp902787905,MAG,82.27,1.48
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290005,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG705;s__,MAG,87.07,2.0
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290006,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG12045;s__RUG12045 sp902778245,MAG,95.73,0.0
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290007,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp902783395,MAG,83.3,2.39
0,0,0,0,1,0,0,1,0,0,0,0,MGYG000290008,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__,MAG,97.45,0.0
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290009,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp902766675,MAG,86.9,3.33
0,0,0,0,1,0,1,1,0,0,0,0,MGYG000290011,cow-rumen,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,MAG,81.03,0.63
1,0,0,0,1,0,1,1,0,0,1,0,MGYG000290017,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_V,MAG,96.6,0.0
1,0,0,0,1,0,0,1,0,0,0,0,MGYG000290018,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2922;s__,MAG,89.4,0.22
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000290019,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG099;s__RUG099 sp902765035,MAG,81.05,1.42
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000290020,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RUG11783;s__,MAG,91.93,0.22
1,0,0,0,0,0,0,0,0,0,0,0,MGYG000290021,cow-rumen,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp902776975,MAG,99.08,1.01
0,0,0,0,0,0,0,0,0,0,0,0,MGYG000290024,cow-rumen,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-822;s__CAG-822 sp900318075,MAG,88.2,2.25
