query	accession
M1	GCF_025837155.1
M1	GCF_025837155.1
M1	GCF_900636545.1
M1	GCA_023431055.1
M1	GCF_900106015.1
M1	GCF_002741105.1
M1	GCF_000418555.1
M1	GCF_009932725.1
M1	GCF_900104265.1
M1	GCF_001941865.1
M1	GCF_016008875.1
M1	GCF_021495345.1
M1	GCF_007049795.1
M1	GCA_946886245.1
M1	GCF_029836375.1
M1	GCF_021029445.1
M1	GCF_900101755.1
M1	GCF_002197815.1
M1	GCF_002803095.1
M1	GCF_900102635.1
M1	GCF_015712065.1
M1	GCF_003052605.1
M1	GCF_900115695.1
M1	GCF_029814935.1
M1	GCF_001567565.1
M1	GCF_014109765.1
M1	GCF_900115475.1
M1	GCF_015712105.2
M1	GCF_003008615.1
M1	GCF_004521985.1
M1	GCF_003696305.1
M1	GCF_026723825.1
M1	GCF_019656335.1
M1	GCF_902506535.1
M1	GCF_003205495.1
M1	GCF_009799925.1
M1	GCF_005508865.1
M1	GCF_028649395.1
M1	GCF_018398425.1
M1	GCF_014490745.1
M1	GCF_000467105.1
M1	GCF_900100495.1
M1	GCF_029837695.1
M1	GCF_001592875.1
M1	GCF_029839275.1
M1	GCF_023823685.1
M1	GCF_000761545.1
M1	GCF_014851565.1
M1	GCF_024397895.1
M1	GCF_019655855.2
M1	GCF_902506505.1
M1	GCF_024666525.1
M1	GCF_029537485.1
M1	GCF_900156545.1
M1	GCF_030696055.1
M1	GCF_013200955.2
M1	GCF_904061905.1
M1	GCF_014164785.1
M1	GCF_014174475.1
M1	GCF_009763245.1
M1	GCF_013184545.1
M1	GCF_014851905.1
M1	GCF_900115555.1
M1	GCF_016901015.1
M1	GCF_000364625.1
M1	GCF_003595175.1
M1	GCF_014851865.1
M1	GCF_002304225.1
M1	GCF_004327355.1
M1	GCF_002354655.1
M1	GCA_018826895.1
M1	GCF_900110925.1
M1	GCF_014207935.1
M1	GCF_029269135.1
M1	GCA_030699825.1
M1	GCF_946885955.1
M1	GCF_946886105.1
M1	GCF_007993865.1
M1	GCF_000498575.2
S26	GCF_001043025.1
S26	GCF_001043025.1
S26	GCF_025465935.1
S26	GCF_000282975.1
S26	GCF_001411475.1
S26	GCF_900105835.1
S26	GCF_002269505.1
S26	GCF_900106095.1
S26	GCF_025426255.1
S26	GCF_900618535.1
S26	GCF_001043005.1
S26	GCF_019345465.1
S26	GCF_904063065.1
S26	GCF_001294575.1
S26	GCF_001043055.1
S26	GCF_001042985.1
S26	GCF_900475285.1
S26	GCF_009600315.1
S26	GCF_002269125.1
S26	GCF_030150285.1
S26	GCF_007858365.1
S26	GCF_003945765.1
S26	GCF_013466605.1
S26	GCF_000282195.1
S26	GCF_900107395.1
S26	GCF_900187505.1
S26	GCF_018502625.1
S26	GCF_030687145.1
S26	GCF_007713465.1
S26	GCF_019956555.1
S26	GCF_014236655.1
S26	GCF_000282495.1
S26	GCF_001874645.1
S26	GCF_002018875.1
S26	GCF_019212185.1
S26	GCF_023241715.1
S26	GCF_009834545.1
S26	GCF_024749285.1
S26	GCF_003732275.1
S26	GCF_003732225.1
S26	GCF_000217955.3
S26	GCF_001921865.1
S26	GCF_020423045.1
S26	GCF_025465945.1
S26	GCF_024748615.1
S26	GCF_030687415.1
S26	GCF_001655615.1
S26	GCF_900109995.1
S26	GCF_001042905.1
S26	GCF_000397205.1
S26	GCF_001307155.1
S26	GCF_019145235.1
S26	GCF_003850345.1
S26	GCA_023612115.1
S26	GCF_003732175.1
S26	GCF_013407925.2
S26	GCF_000931465.1
S26	GCF_019956415.1
S26	GCF_024168645.1
S26	GCF_000282375.1
S26	GCF_902498065.1
S26	GCF_017968885.1
S26	GCF_003363755.1
S26	GCF_900187645.1
S26	GCF_902497875.1
S26	GCF_009761815.1
S26	GCF_013347965.1
S26	GCF_001307275.1
S26	GCF_008801605.1
S26	GCF_021341665.1
S26	GCF_001547895.1
S26	GCF_004786035.1
