MAG,locus,length_aa
S13,IFGBHG_01172,616
S16,PKOJAG_01591,616
S23,GMMJAI_03187,616
C22,AHOBDK_00240,573
M1,OLIJIA_00307,566
S26,IBOFGB_04754,572
